algorithm_name,size,solution,generations,time,conflicts
genetic,4,"[1, 3, 0, 2]",1,0.0,0
genetic2,4,"[2, 0, 3, 1]",9,0.12140464782714844,0
hill_climbing,4,"[1, 3, 0, 2]",24,5.14984130859375e-05,0
simulated_annealing,4,"[2, 0, 3, 1]",47,0.0004940032958984375,0
genetic,4,"[1, 3, 0, 2]",1,0.0,0
genetic2,4,"[2, 0, 3, 1]",2,0.03637814521789551,0
hill_climbing,4,"[0, 3, 1, 2]",36,7.534027099609375e-05,1
simulated_annealing,4,"[1, 3, 0, 2]",15,0.00016164779663085938,0
genetic,4,"[2, 0, 3, 1]",1,0.0,0
genetic2,4,"[1, 3, 0, 2]",1,0.024344682693481445,0
hill_climbing,4,"[0, 3, 1, 2]",24,5.14984130859375e-05,1
simulated_annealing,4,"[2, 0, 3, 1]",71,0.0007534027099609375,0
genetic,4,"[2, 0, 3, 1]",1,0.011984109878540039,0
genetic2,4,"[1, 3, 0, 2]",0,0.012211799621582031,0
hill_climbing,4,"[3, 0, 2, 1]",24,5.125999450683594e-05,1
simulated_annealing,4,"[1, 3, 0, 2]",8,9.489059448242188e-05,0
genetic,4,"[1, 3, 0, 2]",3,0.036939144134521484,0
genetic2,4,"[2, 0, 3, 1]",2,0.03654026985168457,0
hill_climbing,4,"[1, 2, 0, 3]",36,7.677078247070312e-05,1
simulated_annealing,4,"[1, 3, 0, 2]",1,1.2636184692382812e-05,0
genetic,4,"[1, 3, 0, 2]",2,0.024555683135986328,0
genetic2,4,"[1, 3, 0, 2]",3,0.04867434501647949,0
hill_climbing,4,"[3, 0, 2, 1]",36,8.177757263183594e-05,1
simulated_annealing,4,"[1, 3, 0, 2]",12,0.00012922286987304688,0
genetic,4,"[2, 0, 3, 1]",1,0.011934757232666016,0
genetic2,4,"[2, 0, 3, 1]",7,0.09753870964050293,0
hill_climbing,4,"[1, 3, 0, 2]",24,5.1021575927734375e-05,0
simulated_annealing,4,"[1, 3, 0, 2]",9,9.560585021972656e-05,0
genetic,4,"[2, 0, 3, 1]",3,0.036797285079956055,0
genetic2,4,"[1, 3, 0, 2]",0,0.012172460556030273,0
hill_climbing,8,"[1, 4, 2, 7, 6, 0, 3, 5]",168,0.0010287761688232422,2
simulated_annealing,8,"[4, 7, 1, 6, 2, 5, 7, 0]",1000,0.030820846557617188,1
genetic,8,"[3, 7, 7, 4, 0, 5, 5, 1]",1000,13.680010557174683,3
genetic2,8,"[7, 5, 1, 2, 0, 7, 4, 0]",999,13.045899629592896,4
hill_climbing,8,"[1, 6, 3, 7, 0, 4, 2, 5]",224,0.0013294219970703125,2
simulated_annealing,8,"[3, 0, 4, 7, 5, 2, 6, 1]",417,0.0126800537109375,0
genetic,8,"[4, 0, 7, 5, 2, 6, 1, 3]",511,6.97057843208313,0
genetic2,8,"[0, 6, 1, 5, 4, 5, 7, 4]",999,13.214014530181885,6
hill_climbing,8,"[1, 3, 5, 7, 4, 4, 0, 5]",280,0.0015990734100341797,2
simulated_annealing,8,"[7, 2, 0, 5, 1, 4, 6, 3]",441,0.013526439666748047,0
genetic,8,"[4, 0, 7, 5, 2, 6, 1, 3]",49,0.6676909923553467,0
genetic2,8,"[4, 0, 5, 2, 5, 1, 0, 3]",999,12.967662334442139,5
hill_climbing,8,"[7, 4, 2, 5, 6, 1, 0, 4]",168,0.0009775161743164062,3
simulated_annealing,8,"[4, 1, 7, 0, 3, 6, 2, 5]",361,0.011027812957763672,0
genetic,8,"[4, 1, 7, 0, 3, 6, 2, 5]",506,6.852478742599487,0
genetic2,8,"[1, 6, 2, 3, 1, 7, 5, 1]",999,12.919163465499878,4
hill_climbing,8,"[2, 6, 1, 4, 7, 3, 0, 7]",224,0.0013382434844970703,2
simulated_annealing,8,"[1, 6, 4, 7, 0, 3, 5, 2]",524,0.016112327575683594,0
genetic,8,"[4, 6, 0, 3, 1, 7, 5, 2]",67,0.9030680656433105,0
genetic2,8,"[5, 2, 4, 3, 1, 4, 6, 4]",999,12.93232774734497,7
hill_climbing,8,"[2, 6, 1, 7, 5, 3, 0, 4]",336,0.001986265182495117,0
simulated_annealing,8,"[5, 2, 4, 7, 3, 0, 6, 1]",1000,0.030604124069213867,1
genetic,8,"[4, 6, 3, 0, 4, 1, 5, 6]",1000,13.498278617858887,3
genetic2,8,"[1, 7, 2, 0, 2, 4, 4, 7]",999,13.069923639297485,5
hill_climbing,8,"[2, 0, 3, 7, 4, 6, 1, 5]",280,0.0016856193542480469,1
simulated_annealing,8,"[1, 6, 4, 2, 7, 5, 3, 0]",1000,0.03052544593811035,1
genetic,8,"[2, 7, 1, 7, 4, 0, 3, 5]",1000,13.53323245048523,2
genetic2,8,"[5, 3, 4, 0, 0, 5, 1, 1]",999,12.934104204177856,5
hill_climbing,8,"[3, 1, 6, 2, 0, 7, 4, 2]",224,0.0013093948364257812,1
simulated_annealing,8,"[2, 5, 7, 0, 4, 6, 1, 3]",87,0.002665281295776367,0
genetic,8,"[4, 7, 3, 0, 2, 5, 1, 6]",534,7.227823734283447,0
genetic2,8,"[0, 6, 5, 2, 3, 1, 4, 2]",999,13.033666372299194,5
hill_climbing,8,"[4, 6, 3, 0, 7, 1, 2, 5]",336,0.0020020008087158203,1
simulated_annealing,8,"[5, 2, 4, 7, 0, 3, 1, 6]",458,0.014116287231445312,0
genetic,8,"[2, 4, 7, 3, 0, 6, 1, 5]",204,2.754467487335205,0
genetic2,8,"[7, 3, 5, 1, 1, 6, 6, 0]",999,13.024276494979858,6
hill_climbing,8,"[1, 4, 7, 0, 3, 6, 2, 5]",280,0.0016911029815673828,1
simulated_annealing,8,"[4, 7, 3, 0, 6, 1, 5, 2]",138,0.0042018890380859375,0
genetic,8,"[1, 3, 6, 0, 7, 2, 4, 6]",1000,13.5002281665802,2
genetic2,8,"[1, 4, 6, 3, 0, 7, 5, 2]",557,7.203044891357422,0
hill_climbing,8,"[2, 0, 7, 3, 0, 6, 4, 1]",168,0.000997304916381836,1
simulated_annealing,8,"[4, 0, 7, 3, 1, 6, 2, 5]",63,0.0019350051879882812,0
